ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best_of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment
1,Brisbane,Brisbane International,2023-12-31,ATP250,Outdoor,Hard,1st Round,3,Popyrin A.,O Connell C.,40,68.0,1084,780.0,6.0,4.0,6.0,7.0,7.0,6.0,,,,,2.0,1.0,Completed
1,Brisbane,Brisbane International,2023-12-31,ATP250,Outdoor,Hard,1st Round,3,Shevchenko A.,Van Assche L.,48,90.0,947,687.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed
1,Brisbane,Brisbane International,2024-01-01,ATP250,Outdoor,Hard,1st Round,3,Dimitrov G.,Murray A.,14,42.0,2570,1050.0,4.0,6.0,7.0,5.0,6.0,2.0,,,,,2.0,1.0,Completed
1,Brisbane,Brisbane International,2024-01-01,ATP250,Outdoor,Hard,1st Round,3,Rune H.,Purcell M.,8,45.0,3660,1012.0,4.0,6.0,6.0,4.0,6.0,2.0,,,,,2.0,1.0,Completed
2,Hong Kong,Hong Kong Tennis Open,2024-01-01,ATP250,Outdoor,Hard,1st Round,3,Shang J.,Djere L.,183,33.0,335,1285.0,6.0,7.0,6.0,3.0,7.0,6.0,,,,,2.0,1.0,Completed
2,Hong Kong,Hong Kong Tennis Open,2024-01-01,ATP250,Outdoor,Hard,1st Round,3,Kotov P.,Borges N.,67,66.0,791,799.0,6.0,2.0,6.0,4.0,,,,,,,2.0,0.0,Completed
2,Hong Kong,Hong Kong Tennis Open,2024-01-01,ATP250,Outdoor,Hard,1st Round,3,Ruusuvuori E.,Bonzi B.,69,73.0,771,738.0,6.0,7.0,6.0,2.0,6.0,1.0,,,,,2.0,1.0,Completed
2,Hong Kong,Hong Kong Tennis Open,2024-01-01,ATP250,Outdoor,Hard,1st Round,3,Van De Zandschulp B.,Mochizuki S.,50,137.0,930,457.0,7.0,5.0,6.0,1.0,,,,,,,2.0,0.0,Completed
1,Brisbane,Brisbane International,2024-01-01,ATP250,Outdoor,Hard,1st Round,3,Safiullin R.,Shelton B.,39,17.0,1122,2145.0,6.0,3.0,6.0,7.0,6.0,3.0,,,,,2.0,1.0,Completed
1,Brisbane,Brisbane International,2024-01-02,ATP250,Outdoor,Hard,1st Round,3,Duckworth J.,Wolf J.J.,116,53.0,573,910.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed
1,Brisbane,Brisbane International,2024-01-02,ATP250,Outdoor,Hard,1st Round,3,Nadal R.,Thiem D.,672,98.0,45,652.0,7.0,5.0,6.0,1.0,,,,,,,2.0,0.0,Completed
1,Brisbane,Brisbane International,2024-01-02,ATP250,Outdoor,Hard,1st Round,3,Arnaldi M.,Fucsovics M.,44,59.0,1021,882.0,6.0,7.0,6.0,4.0,7.0,6.0,,,,,2.0,1.0,Completed
