match_id,Date,Tournament,Surface,Court,Round,Series,player,rank,points,won,avg_pts_1y,avg_pts_1y_surface,surf_winrate_y1,trend_slope,is_hard,is_clay,is_grass,is_outdoor,avg_pts_x_clay,avg_pts_x_grass,avg_pts_x_outdoor,surf_pts_x_clay,surf_pts_x_grass,winrate_x_clay,winrate_x_grass,winrate_x_outdoor,trend_x_clay,trend_x_grass
5311,2025-11-05,Open de Moselle,Hard,Indoor,2nd Round,ATP250,Added D.,204.0,276.0,0,,,,,1,0,0,0,,,,,,,,,,
802,2024-04-01,U.S. Men's Clay Court Championships,Clay,Outdoor,1st Round,ATP250,Ajdukovic D.,115.0,528.0,0,,,,,0,1,0,1,,,,,,,,,,
946,2024-04-15,Barcelona Open,Clay,Outdoor,1st Round,ATP500,Ajdukovic D.,123.0,507.0,0,,,,,0,1,0,1,,,,,,,,,,
1749,2024-07-16,Nordea Open,Clay,Outdoor,1st Round,ATP250,Ajdukovic D.,130.0,478.0,1,,,,,0,1,0,1,,,,,,,,,,
1764,2024-07-17,Nordea Open,Clay,Outdoor,2nd Round,ATP250,Ajdukovic D.,130.0,478.0,1,504.3333333333333,504.3333333333333,0.3333333333333333,,0,1,0,1,504.3333333333333,0.0,504.3333333333333,504.3333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,,
1790,2024-07-19,Nordea Open,Clay,Outdoor,Quarterfinals,ATP250,Ajdukovic D.,130.0,478.0,1,497.75,497.75,0.5,,0,1,0,1,497.75,0.0,497.75,497.75,0.0,0.5,0.0,0.5,,
1805,2024-07-20,Nordea Open,Clay,Outdoor,Semifinals,ATP250,Ajdukovic D.,130.0,478.0,0,493.8,493.8,0.6,0.0,0,1,0,1,493.8,0.0,493.8,493.8,0.0,0.6,0.0,0.6,0.0,0.0
1838,2024-07-23,Croatia Open,Clay,Outdoor,1st Round,ATP250,Ajdukovic D.,110.0,571.0,0,491.1666666666667,491.1666666666667,0.5,0.0,0,1,0,1,491.1666666666667,0.0,491.1666666666667,491.1666666666667,0.0,0.5,0.0,0.5,0.0,0.0
2669,2024-11-06,Belgrade Open,Hard,Indoor,2nd Round,ATP250,Ajdukovic D.,115.0,506.0,0,502.57142857142856,,,,1,0,0,0,0.0,0.0,0.0,,,,,,,
301,2024-02-07,Dallas Open,Hard,Indoor,1st Round,ATP250,Albot R.,137.0,489.0,0,,,,,1,0,0,0,,,,,,,,,,
361,2024-02-13,Delray Beach Open,Hard,Outdoor,1st Round,ATP250,Albot R.,137.0,475.0,1,,,,,1,0,0,1,,,,,,,,,,
410,2024-02-16,Delray Beach Open,Hard,Outdoor,2nd Round,ATP250,Albot R.,137.0,475.0,0,,,,,1,0,0,1,,,,,,,,,,
962,2024-04-16,Tiriac Open,Clay,Outdoor,1st Round,ATP250,Albot R.,139.0,459.0,1,479.6666666666667,,,-6.999999999999999,0,1,0,1,479.6666666666667,0.0,479.6666666666667,,,,,,-6.999999999999999,-0.0
1000,2024-04-18,Tiriac Open,Clay,Outdoor,2nd Round,ATP250,Albot R.,139.0,459.0,0,474.5,,,-9.0,0,1,0,1,474.5,0.0,474.5,,,,,,-9.0,-0.0
1628,2024-07-02,Wimbledon,Grass,Outdoor,1st Round,Grand Slam,Albot R.,144.0,406.0,0,471.4,,,,0,0,1,1,0.0,471.4,471.4,,,,,,,
1714,2024-07-15,Hall of Fame Championships,Grass,Outdoor,1st Round,ATP250,Albot R.,149.0,411.0,0,460.5,,,,0,0,1,1,0.0,460.5,460.5,,,,,,,
1908,2024-07-30,Citi Open,Hard,Outdoor,1st Round,ATP500,Albot R.,152.0,411.0,1,453.42857142857144,479.6666666666667,0.3333333333333333,,1,0,0,1,0.0,0.0,453.42857142857144,0.0,0.0,0.0,0.0,0.3333333333333333,,
1930,2024-08-01,Citi Open,Hard,Outdoor,2nd Round,ATP500,Albot R.,152.0,411.0,0,448.125,462.5,0.5,2.5,1,0,0,1,0.0,0.0,448.125,0.0,0.0,0.0,0.0,0.5,0.0,0.0
